DoubleTree by Hilton Hotel Newark Airport,-1,-1,-1,-1,-1,30,35,-1,-1,-1,-1,-1,22,8,15,-1,25,33,40,-1,-1,33,40,43,-1,27,22,23,22,8,15,-1,23,17,27,23,27,30,37,-1,-1,-1,-1,27,25,30,20,23,85,67,82,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,-1,25,30,-1,-1,-1,7,3,-1,58,53,57,-1,-1,-1,-1,-1,35,22,35,-1,2,8,-1,-1,-1,-1,-1,-1,43,50,57,-1,-1,-1,-1,-1,52,53,68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,27,27,-1,-1,-1,-1,-1,0,5,-1,-1,-1,27,40,-1,-1,-1,-1,-1,0,5,-1,-1,-1,-1,-1,-1
Sheraton New York Times Square Hotel,34,16,-1,-1,-1,56,53,-1,-1,16,38,-1,6,21,-1,-1,-1,30,-1,-1,49,57,69,-1,3,-1,16,-1,-1,-1,-1,-1,-1,23,-1,-1,-1,58,-1,-1,-1,-1,-1,-1,-1,-1,57,-1,-1,42,-1,-1,73,76,82,-1,-1,-1,-1,-1,2,5,9,-1,-1,43,27,-1,49,22,39,33,-1,58,-1,-1,17,21,-1,-1,-1,-1,-1,-1,-1,45,-1,-1,-1,75,93,85,-1,-1,82,-1,-1,71,52,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,45,-1,-1,33,48,71,-1,-1,-1,-1,-1,-1,-1,51,-1,20,50,23,-1,-1,-1,100,-1,-1,-1,-1,-1,22,17,9,-1,-1,9,13,0,-1,-1,58,-1,-1,-1,31,-1,-1,-1,46,-1,-1,-1,-1,-1
Residence Inn New York The Bronx At Metro Center Atrium,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Crowne Plaza Times Square Manhattan,39,-1,-1,-1,-1,77,-1,-1,44,45,-1,-1,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,-1,46,48,-1,-1,-1,-1,-1,-1,44,46,-1,-1,72,74,71,-1,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,6,8,-1,-1,-1,-1,-1,53,54,-1,-1,23,-1,16,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,-1,-1,-1,-1,22,25,27,-1,-1,-1,-1,-1,72,58,-1,-1,-1,-1,-1,69,18,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,85,100,-1,-1,48,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,52,26,-1,6,7,-1,-1,-1,-1,-1,-1
Best Western Bayside Inn,-1,-1,-1,-1,-1,72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,51,-1,-1,-1,-1,-1,-1,46,-1,-1,-1,85,-1,-1,-1,100,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,30,0,-1,-1,72,-1,-1,-1,-1,-1,-1,-1,84,72,-1,-1,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59,70,-1,74,-1,-1,-1,-1,73,-1,-1,-1,30,51,-1,44,44,66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,49,61,72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70,-1,-1
Courtyard by Marriott New York Manhattan SoHo,-1,-1,-1,-1,-1,-1,-1,-1,60,-1,-1,-1,20,29,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,21,21,-1,-1,-1,-1,48,-1,-1,-1,-1,-1,-1,-1,-1,75,75,-1,75,-1,96,100,94,-1,-1,97,-1,23,-1,-1,-1,25,25,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,68,68,-1,68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1
Cassa Hotel 45th Street,46,43,51,65,89,84,98,100,-1,70,68,64,28,30,43,23,55,58,80,91,85,100,94,99,-1,34,-1,-1,23,28,38,41,59,63,58,61,81,69,60,-1,33,39,43,-1,40,-1,63,-1,-1,77,71,81,-1,-1,58,91,38,54,53,34,14,22,25,28,-1,56,54,-1,16,34,44,-1,73,77,81,82,0,14,22,-1,-1,-1,-1,-1,-1,56,-1,-1,-1,64,90,82,68,77,77,88,34,-1,-1,-1,-1,86,90,97,40,37,13,-1,60,69,-1,-1,-1,47,-1,-1,-1,50,-1,-1,31,26,-1,-1,-1,56,71,71,-1,94,99,92,31,42,-1,-1,-1,17,22,-1,10,-1,18,17,-1,65,80,-1,-1,85,67,67,40,42,28,35,34,38,27,36
United Nations Apartment Hotel,79,77,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,-1,-1,-1,-1,100,91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,79,-1,-1,-1,91,96,77,93,-1,-1,-1,-1,-1,-1,-1,-1,79,62,77,-1,-1,-1,-1,0,-1,77,74,81,81,74,-1,-1,-1,-1,-1,-1,57,60,-1,-1,38,-1,-1,-1,88,60,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,84,-1,67,79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65,-1,70,-1,-1,-1,-1,-1,-1,-1,-1,70,-1,-1,-1,-1,-1,-1,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,74,81,-1,-1,-1,-1,-1,53,-1,-1
Hyatt Herald Square New York,26,27,28,26,75,77,77,38,40,38,40,39,25,17,-1,39,40,39,-1,43,58,-1,58,48,37,42,42,40,22,25,-1,-1,-1,-1,-1,-1,38,54,52,38,32,22,28,35,-1,51,42,26,48,-1,-1,-1,77,58,74,-1,19,17,20,18,1,0,2,-1,40,-1,28,22,-1,31,18,28,42,67,50,68,1,-1,2,-1,-1,-1,-1,-1,38,39,38,-1,-1,-1,100,-1,-1,-1,-1,75,63,82,71,78,42,43,52,-1,6,17,17,-1,-1,52,50,52,-1,-1,86,-1,38,69,-1,-1,26,30,27,-1,-1,-1,-1,-1,68,77,79,68,-1,31,43,38,29,40,33,38,21,21,28,22,-1,61,79,-1,53,-1,50,-1,-1,-1,-1,22,-1,6,20,20
Residence Inn by Marriott New York Manhattan Midtown East,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,11,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,76,75,100,-1,-1,-1,-1,-1,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65,65,65,65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,91,-1,-1,-1,-1,-1,-1,7,4,-1,-1,14,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,19,20,-1,-1,-1,-1
